dataset,hidden_dim,learning_rate,num_epochs,num_layers,aucroc,loss
networkadex,256,0.001,500,2,0.5448717948717949,467679.5625
networkadex,256,0.001,750,2,0.5448717948717949,467559.3046875
networkadex,256,0.001,1000,2,0.5448717948717949,467654.5859375
networkadex,512,0.0001,500,2,0.5424242424242425,467946.4375
networkadex,512,0.0001,750,2,0.4915966386554621,469045.59375
networkadex,512,0.0001,1000,2,0.4915966386554621,468774.6640625
networkadex,512,0.001,500,2,0.5448717948717949,467531.4609375
networkadex,512,0.001,750,2,0.5507246376811594,467260.2421875
networkadex,512,0.001,1000,2,0.5583333333333333,467169.625
networkaragon,64,0.0001,500,2,0.41120218579234974,685628.05
networkaragon,64,0.0001,750,2,0.41120218579234974,863491.85
networkaragon,64,0.0001,1000,2,0.41120218579234974,879122.675
networkaragon,64,0.001,500,2,0.41120218579234974,882990.7
networkaragon,64,0.001,750,2,0.41120218579234974,882991.5625
networkaragon,64,0.001,1000,2,0.33333333333333337,882991.725
networkaragon,128,0.0001,500,2,0.41120218579234974,855443.4375
networkaragon,128,0.0001,750,2,0.41120218579234974,879928.0
networkaragon,128,0.0001,1000,2,0.41120218579234974,881169.475
networkaragon,128,0.001,500,2,0.41120218579234974,883801.5875
networkaragon,128,0.001,750,2,0.41120218579234974,883801.8875
networkaragon,128,0.001,1000,2,0.33333333333333337,883801.7875
networkaragon,256,0.0001,500,2,0.41120218579234974,879300.4875
networkaragon,256,0.0001,750,2,0.41120218579234974,881328.7
networkaragon,256,0.0001,1000,2,0.41120218579234974,881382.8375
networkaragon,256,0.001,500,2,0.41120218579234974,884959.775
networkaragon,256,0.001,750,2,0.33333333333333337,884959.9375
networkaragon,256,0.001,1000,2,0.33333333333333337,884960.1
networkaragon,512,0.0001,500,2,0.41120218579234974,881438.7375
networkaragon,512,0.0001,750,2,0.41120218579234974,881550.3375
networkaragon,512,0.0001,1000,2,0.33333333333333337,881552.4125
networkaragon,512,0.001,500,2,0.41120218579234974,886615.45
networkaragon,512,0.001,750,2,0.33333333333333337,886613.7875
networkaragon,512,0.001,1000,2,0.33333333333333337,886612.4125
networkcoindash,64,0.0001,500,2,0.5395833333333333,505154.375
networkcoindash,64,0.0001,750,2,0.5395833333333333,726933.015625
networkcoindash,64,0.0001,1000,2,0.5395833333333333,769145.6640625
networkcoindash,64,0.001,500,2,0.5395833333333333,779015.953125
networkcoindash,64,0.001,750,2,0.5395833333333333,779019.1875
networkcoindash,64,0.001,1000,2,0.5395833333333333,779019.6328125
