dataset,hidden_dim_1,hidden_dim_2,dropout,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,256,128,0.0001,0.2,1000,3,0.7016129032258064,37311.046875
CollegeMsg,256,128,0.001,0.2,500,3,0.6785714285714286,40216.83203125
CollegeMsg,256,128,0.001,0.2,750,3,0.6785714285714286,40723.53515625
CollegeMsg,256,128,0.001,0.2,1000,3,0.6785714285714286,40391.1875
CollegeMsg,256,256,0.0001,0.2,500,3,0.7016129032258064,32606.213541666668
CollegeMsg,256,256,0.0001,0.2,750,3,0.7016129032258064,38385.168619791664
CollegeMsg,256,256,0.0001,0.2,1000,3,0.7016129032258064,40198.029947916664
CollegeMsg,256,256,0.001,0.2,500,3,0.6785714285714286,40587.696614583336
CollegeMsg,256,256,0.001,0.2,750,3,0.6785714285714286,40653.397135416664
CollegeMsg,256,256,0.001,0.2,1000,3,0.6785714285714286,40561.989583333336
CollegeMsg,512,32,0.0001,0.2,500,3,0.6785714285714286,10305.002278645834
CollegeMsg,512,32,0.0001,0.2,750,3,0.6785714285714286,18563.473958333332
CollegeMsg,512,32,0.0001,0.2,1000,3,0.6785714285714286,23869.817057291668
CollegeMsg,512,32,0.001,0.2,500,3,0.7029914529914529,39310.19140625
CollegeMsg,512,32,0.001,0.2,750,3,0.7029914529914529,39510.790364583336
CollegeMsg,512,32,0.001,0.2,1000,3,0.7029914529914529,39505.272135416664
CollegeMsg,512,64,0.0001,0.2,500,3,0.6785714285714286,18183.721354166668
CollegeMsg,512,64,0.0001,0.2,750,3,0.6785714285714286,25632.619791666668
CollegeMsg,512,64,0.0001,0.2,1000,3,0.6785714285714286,31091.61328125
CollegeMsg,512,64,0.001,0.2,500,3,0.6785714285714286,40122.84765625
CollegeMsg,512,64,0.001,0.2,750,3,0.6785714285714286,39936.015625
CollegeMsg,512,64,0.001,0.2,1000,3,0.6785714285714286,40142.157552083336
CollegeMsg,512,128,0.0001,0.2,500,3,0.65,25362.537109375
CollegeMsg,512,128,0.0001,0.2,750,3,0.7155172413793104,33121.272786458336
CollegeMsg,512,128,0.0001,0.2,1000,3,0.7016129032258064,37302.265625
CollegeMsg,512,128,0.001,0.2,500,3,0.6785714285714286,40378.986979166664
CollegeMsg,512,128,0.001,0.2,750,3,0.6785714285714286,40342.333333333336
CollegeMsg,512,128,0.001,0.2,1000,3,0.6785714285714286,40047.553385416664
CollegeMsg,512,256,0.0001,0.2,500,3,0.7016129032258064,32691.698567708332
CollegeMsg,512,256,0.0001,0.2,750,3,0.7016129032258064,38199.538411458336
CollegeMsg,512,256,0.0001,0.2,1000,3,0.7016129032258064,40187.430989583336
CollegeMsg,512,256,0.001,0.2,500,3,0.6785714285714286,40547.19921875
CollegeMsg,512,256,0.001,0.2,750,3,0.7029914529914529,40679.221354166664
CollegeMsg,512,256,0.001,0.2,1000,3,0.6785714285714286,40431.125
CollegeMsg,64,32,0.0001,0.35,500,3,0.6785714285714286,9732.136393229166
CollegeMsg,64,32,0.0001,0.35,750,3,0.6785714285714286,17380.879231770832
CollegeMsg,64,32,0.0001,0.35,1000,3,0.6785714285714286,22817.867838541668
CollegeMsg,64,32,0.001,0.35,500,3,0.7029914529914529,38105.865885416664
CollegeMsg,64,32,0.001,0.35,750,3,0.7029914529914529,38023.43359375
CollegeMsg,64,32,0.001,0.35,1000,3,0.7029914529914529,38093.872395833336
CollegeMsg,64,64,0.0001,0.35,500,3,0.6785714285714286,17430.200520833332
CollegeMsg,64,64,0.0001,0.35,750,3,0.6785714285714286,24698.12109375
CollegeMsg,64,64,0.0001,0.35,1000,3,0.65,30146.919270833332
CollegeMsg,64,64,0.001,0.35,500,3,0.7029914529914529,39410.447916666664
CollegeMsg,64,64,0.001,0.35,750,3,0.7272727272727273,38797.713541666664
CollegeMsg,64,64,0.001,0.35,1000,3,0.7016129032258064,39543.5
CollegeMsg,64,128,0.0001,0.35,500,3,0.6785714285714286,24852.850260416668
CollegeMsg,64,128,0.0001,0.35,750,3,0.7016129032258064,32275.194010416668
CollegeMsg,64,128,0.0001,0.35,1000,3,0.7016129032258064,36696.292317708336
CollegeMsg,64,128,0.001,0.35,500,3,0.7029914529914529,40174.7265625
CollegeMsg,64,128,0.001,0.35,750,3,0.6785714285714286,40111.147135416664
CollegeMsg,64,128,0.001,0.35,1000,3,0.6785714285714286,40139.720052083336
CollegeMsg,64,256,0.0001,0.35,500,3,0.7016129032258064,32384.254557291668
CollegeMsg,64,256,0.0001,0.35,750,3,0.7016129032258064,37990.391927083336
CollegeMsg,64,256,0.0001,0.35,1000,3,0.7016129032258064,39852.571614583336
CollegeMsg,64,256,0.001,0.35,500,3,0.6785714285714286,40228.104166666664
