dataset,hidden_dim,learning_rate,num_epochs,num_layers,aucroc,loss
networkcoindash,512,0.001,1000,2,0.23076923076923078,779002.4921875
mathoverflow,64,0.0001,500,2,0.6470588235294117,1180.2307942708333
mathoverflow,64,0.0001,750,2,0.6470588235294117,826.6057535807291
mathoverflow,64,0.0001,1000,2,0.6428571428571428,826.2148030598959
mathoverflow,64,0.001,500,2,0.6470588235294117,823.9626261393229
mathoverflow,64,0.001,750,2,0.6428571428571428,823.9334309895834
mathoverflow,64,0.001,1000,2,0.6428571428571428,823.9386393229166
mathoverflow,128,0.0001,500,2,0.6428571428571428,830.7788696289062
mathoverflow,128,0.0001,750,2,0.6428571428571428,826.12060546875
mathoverflow,128,0.0001,1000,2,0.6470588235294117,826.1102701822916
mathoverflow,128,0.001,500,2,0.6428571428571428,823.0117797851562
mathoverflow,128,0.001,750,2,0.6428571428571428,822.9895222981771
mathoverflow,128,0.001,1000,2,0.6428571428571428,822.9960734049479
mathoverflow,256,0.0001,500,2,0.6470588235294117,826.0332845052084
mathoverflow,256,0.0001,750,2,0.6428571428571428,825.9724527994791
mathoverflow,256,0.0001,1000,2,0.6428571428571428,825.9649454752604
mathoverflow,256,0.001,500,2,0.6428571428571428,821.7202758789062
mathoverflow,256,0.001,750,2,0.6428571428571428,821.6896565755209
mathoverflow,256,0.001,1000,2,0.6428571428571428,821.6857503255209
mathoverflow,512,0.0001,500,2,0.6428571428571428,825.8137003580729
mathoverflow,512,0.0001,750,2,0.6428571428571428,825.76611328125
mathoverflow,512,0.0001,1000,2,0.6428571428571428,825.7596435546875
mathoverflow,512,0.001,500,2,0.6428571428571428,819.9700113932291
mathoverflow,512,0.001,750,2,0.6428571428571428,819.9722696940104
mathoverflow,512,0.001,1000,2,0.6428571428571428,819.9801635742188
