Epoch 400 | Edge Type: o-o-bank | Train Loss: 47.9601 | Train AUCROC 0.8982
Epoch 500 | Edge Type: o-o-bank | Train Loss: 45.6661 | Train AUCROC 0.9070

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 35.0015 | Train AUCROC 0.8455
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 34.0187 | Train AUCROC 0.8576
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 34.4641 | Train AUCROC 0.8502
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 33.3387 | Train AUCROC 0.8621
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 32.6982 | Train AUCROC 0.8701

Epoch 100 | Edge Type: o-n | Train Loss: 11.4941 | Train AUCROC 0.8810
Epoch 200 | Edge Type: o-n | Train Loss: 11.1487 | Train AUCROC 0.8869
Epoch 300 | Edge Type: o-n | Train Loss: 9.9797 | Train AUCROC 0.9112
Epoch 400 | Edge Type: o-n | Train Loss: 9.5920 | Train AUCROC 0.9194
Epoch 500 | Edge Type: o-n | Train Loss: 9.9221 | Train AUCROC 0.9146

Epoch 100 | Edge Type: n-n | Train Loss: 1.5362 | Train AUCROC 0.8919
Epoch 200 | Edge Type: n-n | Train Loss: 1.5283 | Train AUCROC 0.8963
Epoch 300 | Edge Type: n-n | Train Loss: 1.5063 | Train AUCROC 0.8968
Epoch 400 | Edge Type: n-n | Train Loss: 1.4433 | Train AUCROC 0.9007
Epoch 500 | Edge Type: n-n | Train Loss: 1.4548 | Train AUCROC 0.9007

Epoch 100 | Edge Type: o-o-bank | Train Loss: 85.0144 | Train AUCROC 0.8001
Epoch 200 | Edge Type: o-o-bank | Train Loss: 80.4233 | Train AUCROC 0.8235
Epoch 300 | Edge Type: o-o-bank | Train Loss: 76.2571 | Train AUCROC 0.8429
Epoch 400 | Edge Type: o-o-bank | Train Loss: 75.7052 | Train AUCROC 0.8458
Epoch 500 | Edge Type: o-o-bank | Train Loss: 73.1102 | Train AUCROC 0.8573

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 43.4684 | Train AUCROC 0.8492
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 42.3324 | Train AUCROC 0.8581
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 41.1450 | Train AUCROC 0.8639
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 41.3219 | Train AUCROC 0.8620
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 40.8391 | Train AUCROC 0.8670

Epoch 100 | Edge Type: o-n | Train Loss: 14.1123 | Train AUCROC 0.8511
Epoch 200 | Edge Type: o-n | Train Loss: 13.0758 | Train AUCROC 0.8763
Epoch 300 | Edge Type: o-n | Train Loss: 12.6974 | Train AUCROC 0.8842
Epoch 400 | Edge Type: o-n | Train Loss: 12.4420 | Train AUCROC 0.8891
Epoch 500 | Edge Type: o-n | Train Loss: 12.3050 | Train AUCROC 0.8934

Epoch 100 | Edge Type: n-n | Train Loss: 1.4923 | Train AUCROC 0.8736
Epoch 200 | Edge Type: n-n | Train Loss: 1.4647 | Train AUCROC 0.8901
Epoch 300 | Edge Type: n-n | Train Loss: 1.4511 | Train AUCROC 0.8891
Epoch 400 | Edge Type: n-n | Train Loss: 1.4507 | Train AUCROC 0.8972
Epoch 500 | Edge Type: n-n | Train Loss: 1.4571 | Train AUCROC 0.8960

Epoch 100 | Edge Type: o-o-bank | Train Loss: 111.6683 | Train AUCROC 0.7925
Epoch 200 | Edge Type: o-o-bank | Train Loss: 105.8881 | Train AUCROC 0.8161
Epoch 300 | Edge Type: o-o-bank | Train Loss: 104.8912 | Train AUCROC 0.8213
Epoch 400 | Edge Type: o-o-bank | Train Loss: 100.8981 | Train AUCROC 0.8367
Epoch 500 | Edge Type: o-o-bank | Train Loss: 99.3281 | Train AUCROC 0.8437

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 51.6150 | Train AUCROC 0.8378
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 49.9387 | Train AUCROC 0.8489
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 49.2032 | Train AUCROC 0.8531
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 48.4876 | Train AUCROC 0.8576
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 48.3789 | Train AUCROC 0.8569

Epoch 100 | Edge Type: o-n | Train Loss: 13.8481 | Train AUCROC 0.8576
Epoch 200 | Edge Type: o-n | Train Loss: 13.2768 | Train AUCROC 0.8695
Epoch 300 | Edge Type: o-n | Train Loss: 12.9641 | Train AUCROC 0.8756
Epoch 400 | Edge Type: o-n | Train Loss: 12.3334 | Train AUCROC 0.8923
Epoch 500 | Edge Type: o-n | Train Loss: 11.6122 | Train AUCROC 0.9055

Epoch 100 | Edge Type: n-n | Train Loss: 1.5187 | Train AUCROC 0.8742
Epoch 200 | Edge Type: n-n | Train Loss: 1.4698 | Train AUCROC 0.8826
Epoch 300 | Edge Type: n-n | Train Loss: 1.4908 | Train AUCROC 0.8875
Epoch 400 | Edge Type: n-n | Train Loss: 1.5087 | Train AUCROC 0.8961
Epoch 500 | Edge Type: n-n | Train Loss: 1.4856 | Train AUCROC 0.9022

Epoch 100 | Edge Type: o-o-bank | Train Loss: 146.2810 | Train AUCROC 0.7648
Epoch 200 | Edge Type: o-o-bank | Train Loss: 140.8474 | Train AUCROC 0.7866
Epoch 300 | Edge Type: o-o-bank | Train Loss: 138.3513 | Train AUCROC 0.7963
Epoch 400 | Edge Type: o-o-bank | Train Loss: 136.2150 | Train AUCROC 0.8036
Epoch 500 | Edge Type: o-o-bank | Train Loss: 135.5587 | Train AUCROC 0.8064

