model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.01,64,16,2,0.3,32,112,MLP,0.6658616063154139,0.6807126998901367,0.6948025018879862,0.607842019539499,0.6016227997025515,0.57339015723905,0.6196127420362274,0.6009463722397477,0.5570866141732284,0.4412157153446998,0.42665173572228443,0.2729026036644166,0.5154139244890891,0.49901768172888017,0.3663430420711974
GCN_binary_lr0.001,0.01,64,16,3,0.3,32,6,MLP,0.676498838228072,0.6730936765670776,0.6847526087905421,0.5929677832905904,0.5957816738123691,0.5399509377711278,0.5819121915820029,0.5788113695090439,0.509915014164306,0.47553743513713864,0.5016797312430011,0.3471552555448409,0.5233743983030106,0.5374925014997001,0.41308089500860584
GCN_binary_lr0.001,0.01,64,32,1,0,32,1,MLP,0.6750979293579173,0.6660726645163128,0.6865661379062769,0.6017498891362297,0.604031104183465,0.525063489834652,0.5747410728087803,0.5825503355704698,0.5048231511254019,0.5512231282431431,0.48600223964165734,0.30279652844744454,0.5627364915998184,0.5299145299145299,0.378541289933695
GCN_binary_lr0.001,0.01,64,32,2,0,32,197,MLP,0.6600540628506674,0.71001450078828,0.7209459254235933,0.6146133258526619,0.6032429660078574,0.5605396845175934,0.6213097713097713,0.5940740740740741,0.5418894830659536,0.4430689399555226,0.4490481522956327,0.29315332690453233,0.5172652531371701,0.5114795918367347,0.3804755944931164
GCN_binary_lr0.001,0.01,64,32,3,0,32,236,MLP,0.6633801121988567,0.6783953926392964,0.7207558552424113,0.6109153693178542,0.6077003043454816,0.552378299913797,0.6132904811418849,0.5908479138627187,0.5341246290801187,0.4809488510007413,0.4916013437849944,0.3471552555448409,0.5391167061365242,0.5366748166259169,0.4208065458796026
GCN_binary_lr0.001,0.01,64,32,1,0.1,32,231,MLP,0.6596067816866518,0.6964759571211678,0.7180800112811002,0.6187917634950196,0.6008258835361259,0.5407474085639441,0.6124322433991957,0.6008583690987125,0.5471698113207547,0.5192735359525574,0.47032474804031354,0.3355834136933462,0.5620186136071887,0.5276381909547738,0.41601912731619844
GCN_binary_lr0.001,0.01,64,32,2,0.1,32,14,MLP,0.6697061782199625,0.6592356498752322,0.6789409662737991,0.6081103483292953,0.6149778857331314,0.5513679490481871,0.5952264181788458,0.5929319371727748,0.5536480686695279,0.5398072646404745,0.5072788353863382,0.37319189971070393,0.5661638936401804,0.5467712733856367,0.44585253456221197
GCN_binary_lr0.001,0.01,64,32,3,0.1,32,173,MLP,0.6629060642414183,0.6606016265494483,0.6900799382816661,0.6178062903581215,0.6212064972180041,0.5880786037164918,0.6214507772020725,0.6170212765957447,0.5819935691318328,0.4445515196441809,0.48712206047032475,0.3490838958534233,0.518323249783924,0.5444305381727159,0.43640747438215793
GCN_binary_lr0.001,0.01,64,32,1,0.2,32,19,MLP,0.6687268445277101,0.6711758886064801,0.6826288483359597,0.6028194923510867,0.5975899399209228,0.5410672987597746,0.599344262295082,0.5902097902097903,0.5468483816013628,0.4742772424017791,0.47256438969764836,0.3095467695274831,0.5295261742189117,0.5248756218905473,0.39532019704433496
GCN_binary_lr0.001,0.01,64,32,2,0.2,32,156,MLP,0.6612981753467948,0.6655971705913544,0.6765476248481057,0.6161160808242221,0.6038931643277501,0.5430238364691563,0.6313536063234164,0.6513157894736842,0.6093366093366094,0.4263157894736842,0.3325867861142217,0.2391513982642237,0.5089605734767025,0.44032616753150483,0.34349030470914127
GCN_binary_lr0.001,0.01,64,32,3,0.2,32,59,MLP,0.6615621330331287,0.6684717535972595,0.7034127007831227,0.6174994216400584,0.6019632603464298,0.5358621087273299,0.6112573763050386,0.6030075187969924,0.5249110320284698,0.49911045218680505,0.4490481522956327,0.2844744455159113,0.5495205060191798,0.5147625160462131,0.3689806128830519
GCN_binary_lr0.001,0.01,64,32,1,0.3,32,247,MLP,0.6574020886449452,0.6770471334457397,0.7075596316294237,0.6225589968353683,0.6051684809937689,0.5562662676718411,0.625261272021499,0.6121112929623568,0.5614035087719298,0.46567828020756113,0.41881298992161253,0.2777242044358727,0.5337978501933126,0.4973404255319149,0.3716129032258065
GCN_binary_lr0.001,0.01,64,32,2,0.3,32,109,MLP,0.6636884644698192,0.6674261476312365,0.6755682735732107,0.6097817893275145,0.5968864466567768,0.5404544858555528,0.6273676960165309,0.6267748478701826,0.6172106824925816,0.405114899925871,0.3460246360582307,0.20057859209257473,0.4923201657582992,0.4458874458874459,0.3027656477438137
GCN_binary_lr0.001,0.01,64,32,3,0.3,32,241,MLP,0.6578170230603331,0.6803101790802819,0.7082001295956698,0.6167992351911007,0.6098527930939786,0.5484145442169154,0.6090611450314132,0.6213740458015267,0.5540983606557377,0.510229799851742,0.45576707726763716,0.32594021215043395,0.555282158847969,0.5258397932816538,0.41044323011536127
GCN_binary_lr0.001,0.01,64,64,1,0,32,10,MLP,0.6714617631164207,0.6610231058938163,0.6920615019220294,0.6067602748871991,0.6132392165517795,0.5345788282905682,0.5992259922599226,0.6200873362445415,0.5403225806451613,0.49355077835433653,0.47704367301231804,0.32304725168756027,0.5412788098044795,0.5392405063291139,0.40434520217260106
GCN_binary_lr0.001,0.01,64,64,2,0,32,78,MLP,0.6655497977518923,0.664713978767395,0.685988780223962,0.611041539706814,0.6018177964985849,0.5546375244218495,0.6166084992814617,0.6108527131782946,0.5454545454545454,0.44529280948851,0.4412094064949608,0.28351012536162007,0.5171315426997245,0.5123537061118335,0.3730964467005076
GCN_binary_lr0.001,0.01,64,64,3,0,32,151,MLP,0.6634314945806259,0.6676912414176124,0.6964430917393077,0.6145350178398626,0.6031094151475517,0.5411993464568906,0.5989835232396098,0.587696335078534,0.5390070921985816,0.5416604892512973,0.5027995520716685,0.36644165863066536,0.5688816224843318,0.5419432709716355,0.4362801377726751
GCN_binary_lr0.001,0.01,64,64,1,0.1,32,187,MLP,0.6670253087559017,0.6713454978806632,0.6997574658104868,0.6074543315450426,0.6035194727186315,0.546044660019026,0.6403064537073108,0.6546610169491526,0.6102150537634409,0.36553002223869535,0.3460246360582307,0.218900675024108,0.4653862488792412,0.45274725274725275,0.3222143364088006
GCN_binary_lr0.001,0.01,64,64,2,0.1,32,231,MLP,0.6619721871416716,0.7097704836300441,0.7465964411244248,0.6108424382666018,0.6029978092642915,0.5528116395395442,0.6306515186645026,0.6531914893617021,0.5968586387434555,0.4032616753150482,0.3437849944008959,0.21986499517839922,0.4919515283052993,0.450476889214967,0.321353065539112
GCN_binary_lr0.001,0.01,64,64,3,0.1,32,191,MLP,0.6630168170160592,0.6629759392568043,0.6896451025298147,0.6084440771271145,0.6031658450885259,0.5469592298085588,0.636983884248912,0.6407185628742516,0.6102564102564103,0.4014084507042254,0.3594624860022396,0.22950819672131148,0.4924741939884498,0.460545193687231,0.33356692361597756
GCN_binary_lr0.001,0.01,64,64,1,0.2,32,210,MLP,0.6606354083495117,0.6596072656767709,0.6875414288405216,0.6156554810113852,0.621720636680214,0.5668440321415253,0.6017089762734362,0.6038709677419355,0.5594900849858357,0.5376575240919199,0.5240761478163494,0.3809064609450338,0.5678828687754462,0.5611510791366906,0.45324153757888697
