activation,seed,hidden_dim_1,hidden_dim_2,mlp_dim,learning_rate,dropout,l2_regularization,num_layers_LSTM,num_layers_GRU,trained_epochs,train_loss,train_aucroc,valid_aucroc,valid_loss
degree_activation,42,64,128,32,0.01,0,1e-05,3,3,75,0.6655869592319835,0.4821768707482993,0.453030303030303,0.7029031912485758
degree_activation,42,64,128,32,0.01,0,0.0001,3,3,75,0.6679952361366965,0.520952380952381,0.396969696969697,0.7044151624043783
degree_activation,42,64,128,32,0.01,0,0.001,3,3,75,0.6691199866208163,0.5176870748299319,0.4,0.6909417112668356
degree_activation,42,64,128,64,1e-05,0,1e-05,3,3,75,0.6677023551680825,0.5768707482993197,0.4484848484848485,0.6855363647143046
degree_activation,42,64,128,64,1e-05,0,0.0001,3,3,75,0.6677685054865751,0.5617687074829932,0.41818181818181815,0.696654736995697
degree_activation,42,64,128,64,1e-05,0,0.001,3,3,75,0.6713368675925515,0.5454421768707483,0.4090909090909091,0.6870613495508829
degree_activation,42,64,128,64,0.0001,0,1e-05,3,3,75,0.6130871826952154,0.6972789115646258,0.5545454545454546,0.7109520236651102
degree_activation,42,64,128,64,0.0001,0,0.0001,3,3,75,0.6149260401725769,0.7001360544217687,0.6090909090909091,0.6983698407808939
degree_activation,42,64,128,64,0.0001,0,0.001,3,3,75,0.638390454378995,0.6515646258503401,0.593939393939394,0.6766859292984009
degree_activation,42,64,128,64,0.001,0,1e-05,3,3,75,0.384715771810575,0.8825850340136054,0.5696969696969698,1.082224150498708
degree_activation,42,64,128,64,0.001,0,0.0001,3,3,75,0.4107436104254289,0.8651700680272109,0.6136363636363635,0.9811014533042908
degree_activation,42,64,128,64,0.001,0,0.001,3,3,75,0.6420430324294351,0.6351020408163265,0.5681818181818181,0.6847467422485352
degree_activation,42,64,128,64,0.01,0,1e-05,3,3,75,0.6619407426227223,0.5680272108843537,0.34545454545454546,0.703711211681366
degree_activation,42,64,128,64,0.01,0,0.0001,3,3,75,0.6658890301531012,0.5137414965986394,0.41060606060606064,0.7074820200602213
degree_activation,42,64,128,64,0.01,0,0.001,3,3,75,0.6690545244650408,0.5145578231292517,0.4,0.6926517089207967
degree_activation,42,64,256,32,1e-05,0,1e-05,3,3,75,0.667251630262895,0.566530612244898,0.4393939393939394,0.6995199720064799
degree_activation,42,64,256,32,1e-05,0,0.0001,3,3,75,0.6661906621672891,0.5741496598639455,0.44848484848484854,0.6958348155021667
degree_activation,42,64,256,32,1e-05,0,0.001,3,3,75,0.6682908426631581,0.5510204081632653,0.40606060606060607,0.699804961681366
degree_activation,42,64,256,32,0.0001,0,1e-05,3,3,75,0.5896208855238828,0.7315646258503402,0.6454545454545454,0.677372137705485
degree_activation,42,64,256,32,0.0001,0,0.0001,3,3,75,0.6255666396834634,0.6770068027210885,0.5909090909090909,0.6996808648109436
degree_activation,42,64,256,32,0.0001,0,0.001,3,3,75,0.6419073397463019,0.6427210884353741,0.5878787878787879,0.6910380522410074
degree_activation,42,64,256,32,0.001,0,1e-05,3,3,75,0.4121809534051202,0.8692517006802721,0.5969696969696969,0.9317401647567749
degree_activation,42,64,256,32,0.001,0,0.0001,3,3,75,0.4699799350716851,0.8248979591836734,0.5196969696969698,0.9385935664176941
degree_activation,42,64,256,32,0.001,0,0.001,3,3,75,0.6425008177757263,0.6435374149659864,0.5803030303030303,0.6920698881149292
degree_activation,42,64,256,32,0.01,0,1e-05,3,3,75,0.6662778529253873,0.4946938775510204,0.39545454545454545,0.7096492250760397
degree_activation,42,64,256,32,0.01,0,0.0001,3,3,75,0.669209588657726,0.5194557823129251,0.4,0.7010544339815775
degree_activation,42,64,256,32,0.01,0,0.001,3,3,75,0.6730436357584867,0.46176870748299315,0.5,0.6746929486592611
degree_activation,42,64,256,64,1e-05,0,1e-05,3,3,75,0.6651484912092035,0.5801360544217687,0.4575757575757575,0.6964245041211446
degree_activation,42,64,256,64,1e-05,0,0.0001,3,3,75,0.6666676835580305,0.570204081632653,0.4363636363636363,0.6952805717786154
degree_activation,42,64,256,64,1e-05,0,0.001,3,3,75,0.6693501689217307,0.5517006802721088,0.40606060606060607,0.6857942740122477
degree_activation,42,64,256,64,0.0001,0,1e-05,3,3,75,0.597370142286474,0.7118367346938775,0.6303030303030304,0.6759892106056213
degree_activation,42,64,256,64,0.0001,0,0.0001,3,3,75,0.6160804629325867,0.6974149659863944,0.6272727272727273,0.6943035920461019
degree_activation,42,64,256,64,0.0001,0,0.001,3,3,75,0.6406289609995756,0.6472108843537415,0.5515151515151515,0.6882031361262003
degree_activation,42,64,256,64,0.001,0,1e-05,3,3,75,0.4050284407355569,0.8629931972789116,0.6409090909090909,0.8152181704839071
degree_activation,42,64,256,64,0.001,0,0.0001,3,3,75,0.4188152104616165,0.8576870748299319,0.556060606060606,1.3117971420288086
degree_activation,42,64,256,64,0.001,0,0.001,3,3,75,0.6413811987096613,0.6424489795918368,0.5606060606060607,0.6913688977559408
degree_activation,42,64,256,64,0.01,0,1e-05,3,3,75,0.6629118106581948,0.5503401360544218,0.3196969696969697,0.7140690088272095
degree_activation,42,64,256,64,0.01,0,0.0001,3,3,75,0.6665265993638472,0.5021768707482993,0.4,0.7105962634086609
degree_activation,42,64,256,64,0.01,0,0.001,3,3,75,0.6683447848666798,0.5099319727891156,0.4,0.6987720529238383
degree_activation,42,128,32,32,1e-05,0,1e-05,3,3,75,0.6715393445708535,0.5644897959183673,0.4393939393939394,0.6930602788925171
degree_activation,42,128,32,32,1e-05,0,0.0001,3,3,75,0.6705502813512628,0.5775510204081633,0.4515151515151515,0.6818062861760458
degree_activation,42,128,32,32,1e-05,0,0.001,3,3,75,0.6810291842980818,0.558639455782313,0.4303030303030303,0.6903262734413147
degree_activation,42,128,32,32,0.0001,0,1e-05,3,3,75,0.6194052479483865,0.6760544217687074,0.5606060606060607,0.6889341473579407
