Epoch: 25 | Edge Type: o-n | Train Loss: 0.1017 | Train AUCROC: 0.9876 | GPU: 0.0MiB
Epoch: 25 | Edge Type: n-n | Train Loss: 0.0001 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-bank | Train Loss: 0.3368 | Train AUCROC: 0.9259 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-nobank | Train Loss: 0.1441 | Train AUCROC: 0.9851 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-n | Train Loss: 0.1374 | Train AUCROC: 0.9741 | GPU: 0.0MiB
Epoch: 13 | Edge Type: n-n | Train Loss: 0.0008 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-o-nobank | Train Loss: 0.0234 | Train AUCROC: 0.9995 | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-n | Train Loss: 0.0845 | Train AUCROC: 0.9890 | GPU: 0.0MiB
Epoch: 26 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 27 | Edge Type: o-o-nobank | Train Loss: 0.0262 | Train AUCROC: 0.9997 | GPU: 0.0MiB
Epoch: 27 | Edge Type: o-n | Train Loss: 0.0944 | Train AUCROC: 0.9892 | GPU: 0.0MiB
Epoch: 27 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-bank | Train Loss: 0.3039 | Train AUCROC: 0.9388 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-nobank | Train Loss: 0.0997 | Train AUCROC: 0.9893 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-n | Train Loss: 0.1280 | Train AUCROC: 0.9772 | GPU: 0.0MiB
Epoch: 14 | Edge Type: n-n | Train Loss: 0.0014 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 28 | Edge Type: o-o-nobank | Train Loss: 0.0208 | Train AUCROC: 0.9996 | GPU: 0.0MiB
Epoch: 28 | Edge Type: o-n | Train Loss: 0.0860 | Train AUCROC: 0.9892 | GPU: 0.0MiB
Epoch: 28 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-bank | Train Loss: 0.2970 | Train AUCROC: 0.9418 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-nobank | Train Loss: 0.0791 | Train AUCROC: 0.9915 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-n | Train Loss: 0.1159 | Train AUCROC: 0.9795 | GPU: 0.0MiB
Epoch: 15 | Edge Type: n-n | Train Loss: 0.0046 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 29 | Edge Type: o-o-nobank | Train Loss: 0.0464 | Train AUCROC: 0.9992 | GPU: 0.0MiB
Epoch: 29 | Edge Type: o-n | Train Loss: 0.0722 | Train AUCROC: 0.9915 | GPU: 0.0MiB
Epoch: 29 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-bank | Train Loss: 0.2876 | Train AUCROC: 0.9460 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-nobank | Train Loss: 0.0737 | Train AUCROC: 0.9930 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-n | Train Loss: 0.1088 | Train AUCROC: 0.9817 | GPU: 0.0MiB
Epoch: 16 | Edge Type: n-n | Train Loss: 0.0083 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 30 | Edge Type: o-o-nobank | Train Loss: 0.0241 | Train AUCROC: 0.9996 | GPU: 0.0MiB
Epoch: 30 | Edge Type: o-n | Train Loss: 0.0719 | Train AUCROC: 0.9920 | GPU: 0.0MiB
Epoch: 30 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 31 | Edge Type: o-o-nobank | Train Loss: 0.0192 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 31 | Edge Type: o-n | Train Loss: 0.0697 | Train AUCROC: 0.9919 | GPU: 0.0MiB
Epoch: 31 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-bank | Train Loss: 0.2774 | Train AUCROC: 0.9505 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-nobank | Train Loss: 0.0635 | Train AUCROC: 0.9950 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-n | Train Loss: 0.1134 | Train AUCROC: 0.9849 | GPU: 0.0MiB
Epoch: 17 | Edge Type: n-n | Train Loss: 0.0015 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 32 | Edge Type: o-o-nobank | Train Loss: 0.0144 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 32 | Edge Type: o-n | Train Loss: 0.0624 | Train AUCROC: 0.9925 | GPU: 0.0MiB
Epoch: 32 | Edge Type: n-n | Train Loss: 0.0001 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-bank | Train Loss: 0.2494 | Train AUCROC: 0.9593 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-nobank | Train Loss: 0.0614 | Train AUCROC: 0.9955 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-n | Train Loss: 0.1292 | Train AUCROC: 0.9804 | GPU: 0.0MiB
Epoch: 18 | Edge Type: n-n | Train Loss: 0.0016 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 33 | Edge Type: o-o-nobank | Train Loss: 0.0224 | Train AUCROC: 0.9997 | GPU: 0.0MiB
Epoch: 33 | Edge Type: o-n | Train Loss: 0.0606 | Train AUCROC: 0.9917 | GPU: 0.0MiB
Epoch: 33 | Edge Type: n-n | Train Loss: 0.0189 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 34 | Edge Type: o-o-nobank | Train Loss: 0.0206 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 34 | Edge Type: o-n | Train Loss: 0.0544 | Train AUCROC: 0.9927 | GPU: 0.0MiB
Epoch: 34 | Edge Type: n-n | Train Loss: 0.1327 | Train AUCROC: 0.9991 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-bank | Train Loss: 0.2342 | Train AUCROC: 0.9636 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-nobank | Train Loss: 0.0612 | Train AUCROC: 0.9963 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-n | Train Loss: 0.1113 | Train AUCROC: 0.9833 | GPU: 0.0MiB
Epoch: 19 | Edge Type: n-n | Train Loss: 0.0010 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 35 | Edge Type: o-o-nobank | Train Loss: 0.0143 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 35 | Edge Type: o-n | Train Loss: 0.0586 | Train AUCROC: 0.9933 | GPU: 0.0MiB
Epoch: 35 | Edge Type: n-n | Train Loss: 0.0253 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-bank | Train Loss: 0.2260 | Train AUCROC: 0.9659 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-nobank | Train Loss: 0.0560 | Train AUCROC: 0.9971 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-n | Train Loss: 0.0982 | Train AUCROC: 0.9830 | GPU: 0.0MiB
Epoch: 20 | Edge Type: n-n | Train Loss: 0.0001 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 36 | Edge Type: o-o-nobank | Train Loss: 0.0210 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 36 | Edge Type: o-n | Train Loss: 0.0578 | Train AUCROC: 0.9925 | GPU: 0.0MiB
Epoch: 36 | Edge Type: n-n | Train Loss: 0.0003 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-bank | Train Loss: 0.2159 | Train AUCROC: 0.9683 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-nobank | Train Loss: 0.0547 | Train AUCROC: 0.9976 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-n | Train Loss: 0.1102 | Train AUCROC: 0.9865 | GPU: 0.0MiB
Epoch: 21 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 37 | Edge Type: o-o-nobank | Train Loss: 0.0202 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 37 | Edge Type: o-n | Train Loss: 0.0509 | Train AUCROC: 0.9937 | GPU: 0.0MiB
Epoch: 37 | Edge Type: n-n | Train Loss: 0.0009 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 38 | Edge Type: o-o-nobank | Train Loss: 0.0194 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 38 | Edge Type: o-n | Train Loss: 0.0488 | Train AUCROC: 0.9945 | GPU: 0.0MiB
Epoch: 38 | Edge Type: n-n | Train Loss: 0.0002 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 22 | Edge Type: o-o-bank | Train Loss: 0.2106 | Train AUCROC: 0.9715 | GPU: 0.0MiB
Epoch: 22 | Edge Type: o-o-nobank | Train Loss: 0.0499 | Train AUCROC: 0.9972 | GPU: 0.0MiB
Epoch: 22 | Edge Type: o-n | Train Loss: 0.0922 | Train AUCROC: 0.9866 | GPU: 0.0MiB
Epoch: 22 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 39 | Edge Type: o-o-nobank | Train Loss: 0.0473 | Train AUCROC: 0.9996 | GPU: 0.0MiB
Epoch: 39 | Edge Type: o-n | Train Loss: 0.0474 | Train AUCROC: 0.9945 | GPU: 0.0MiB
Epoch: 39 | Edge Type: n-n | Train Loss: 0.0006 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 23 | Edge Type: o-o-bank | Train Loss: 0.1978 | Train AUCROC: 0.9747 | GPU: 0.0MiB
Epoch: 23 | Edge Type: o-o-nobank | Train Loss: 0.0539 | Train AUCROC: 0.9972 | GPU: 0.0MiB
Epoch: 23 | Edge Type: o-n | Train Loss: 0.0795 | Train AUCROC: 0.9894 | GPU: 0.0MiB
Epoch: 23 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 40 | Edge Type: o-o-nobank | Train Loss: 0.0150 | Train AUCROC: 0.9999 | GPU: 0.0MiB
Epoch: 40 | Edge Type: o-n | Train Loss: 0.0474 | Train AUCROC: 0.9943 | GPU: 0.0MiB
Epoch: 40 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-o-bank | Train Loss: 0.1913 | Train AUCROC: 0.9765 | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-o-nobank | Train Loss: 0.0429 | Train AUCROC: 0.9981 | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-n | Train Loss: 0.0841 | Train AUCROC: 0.9904 | GPU: 0.0MiB
Epoch: 24 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 41 | Edge Type: o-o-nobank | Train Loss: 0.0126 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 41 | Edge Type: o-n | Train Loss: 0.0535 | Train AUCROC: 0.9941 | GPU: 0.0MiB
Epoch: 41 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 42 | Edge Type: o-o-nobank | Train Loss: 0.0155 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 42 | Edge Type: o-n | Train Loss: 0.0538 | Train AUCROC: 0.9944 | GPU: 0.0MiB
Epoch: 42 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-o-bank | Train Loss: 0.1858 | Train AUCROC: 0.9778 | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-o-nobank | Train Loss: 0.0430 | Train AUCROC: 0.9983 | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-n | Train Loss: 0.0768 | Train AUCROC: 0.9887 | GPU: 0.0MiB
Epoch: 25 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 43 | Edge Type: o-o-nobank | Train Loss: 0.0179 | Train AUCROC: 0.9998 | GPU: 0.0MiB
Epoch: 43 | Edge Type: o-n | Train Loss: 0.0410 | Train AUCROC: 0.9950 | GPU: 0.0MiB
Epoch: 43 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-o-bank | Train Loss: 0.1693 | Train AUCROC: 0.9801 | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-o-nobank | Train Loss: 0.0440 | Train AUCROC: 0.9981 | GPU: 0.0MiB
