overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19
1228.8141,161.46135,1228.8988,161.4691,1229.1702,161.41818,1228.8684,161.50107,1228.9152,161.35829,1229.0251,161.54132,1681.387,448.1325,1681.5549,447.7411,1681.2217,447.86816,1712.3047,1712.4253
1251.8141,167.46135,1251.8988,167.4691,1252.1702,167.41818,1251.8684,167.50107,1251.9152,167.35829,1252.0251,167.54132,1702.387,453.1325,1702.5549,452.7411,1702.2217,452.86816,1734.3047,1729.4253
1269.8141,161.46135,1269.8988,161.4691,1270.1702,161.41818,1269.8684,161.50107,1269.9152,161.35829,1270.0251,161.54132,1731.387,457.1325,1731.5549,456.7411,1731.2217,456.86816,1765.3047,1766.4253
1285.8099,166.46077,1285.8945,166.46855,1286.1661,166.4176,1285.8639,166.5005,1285.9109,166.3577,1286.0205,166.54076,1764.3804,468.13086,1764.5491,467.7395,1764.2156,467.86652,1800.2983,1808.4194
1279.8141,165.46135,1279.8988,165.4691,1280.1702,165.41818,1279.8684,165.50107,1279.9152,165.35829,1280.0251,165.54132,1764.387,467.1325,1764.5549,466.7411,1764.2217,466.86816,1801.3047,1815.4253
1298.8141,167.46135,1298.8988,167.4691,1299.1702,167.41818,1298.8684,167.50107,1298.9152,167.35829,1299.0251,167.54132,1787.387,469.1325,1787.5549,468.7411,1787.2217,468.86816,1825.3047,1840.4253
1308.8141,166.46135,1308.8988,166.4691,1309.1702,166.41818,1308.8684,166.50107,1308.9152,166.35829,1309.0251,166.54132,1787.387,462.1325,1787.5549,461.7411,1787.2217,461.86816,1824.3047,1836.4253
1308.8141,168.46135,1308.8988,168.4691,1309.1702,168.41818,1308.8684,168.50107,1308.9152,168.35829,1309.0251,168.54132,1784.387,462.1325,1784.5549,461.7411,1784.2217,461.86816,1822.3047,1834.4253
1288.8141,166.46135,1288.8988,166.4691,1289.1702,166.41818,1288.8684,166.50107,1288.9152,166.35829,1289.0251,166.54132,1755.387,453.1325,1755.5549,452.7411,1755.2217,452.86816,1793.3047,1805.4253
1286.8141,171.46135,1286.8988,171.4691,1287.1702,171.41818,1286.8684,171.50107,1286.9152,171.35829,1287.0251,171.54132,1720.387,452.1325,1720.5549,451.7411,1720.2217,451.86816,1753.3047,1735.4253
1271.8141,168.46135,1271.8988,168.4691,1272.1702,168.41818,1271.8684,168.50107,1271.9152,168.35829,1272.0251,168.54132,1693.387,439.1325,1693.5549,438.7411,1693.2217,438.86816,1726.3047,1706.4253
1219.8141,152.46135,1219.8988,152.4691,1220.1702,152.41818,1219.8684,152.50107,1219.9152,152.35829,1220.0251,152.54132,1629.387,413.1325,1629.5549,412.7411,1629.2217,412.86816,1663.3047,1658.4253
1197.8141,143.46135,1197.8988,143.4691,1198.1702,143.41818,1197.8684,143.50107,1197.9152,143.35829,1198.0251,143.54132,1602.387,408.1325,1602.5549,407.7411,1602.2217,407.86816,1633.3047,1630.4253
1180.8141,137.46135,1180.8988,137.4691,1181.1702,137.41818,1180.8684,137.50107,1180.9152,137.35829,1181.0251,137.54132,1576.387,392.1325,1576.5549,391.7411,1576.2217,391.86816,1607.3047,1609.4253
1151.8141,129.46135,1151.8988,129.4691,1152.1702,129.41818,1151.8684,129.50107,1151.9152,129.35829,1152.0251,129.54132,1535.387,372.1325,1535.5549,371.7411,1535.2217,371.86816,1569.3047,1581.4253
1139.8141,122.46135,1139.8988,122.4691,1140.1702,122.41818,1139.8684,122.50107,1139.9152,122.35829,1140.0251,122.54132,1514.387,360.1325,1514.5549,359.7411,1514.2217,359.86816,1546.3047,1561.4253
1076.8141,110.46135,1076.8988,110.4691,1077.1702,110.41818,1076.8684,110.50107,1076.9152,110.35829,1077.0251,110.54132,1428.387,317.1325,1428.5549,316.7411,1428.2217,316.86816,1460.3047,1494.4253
1025.8141,98.46135,1025.8988,98.4691,1026.1702,98.41818,1025.8684,98.50107,1025.9152,98.35829,1026.0251,98.54132,1377.387,302.1325,1377.5549,301.7411,1377.2217,301.86816,1407.3047,1459.4253
1027.8141,105.46135,1027.8988,105.4691,1028.1702,105.41818,1027.8684,105.50107,1027.9152,105.35829,1028.0251,105.54132,1373.387,301.1325,1373.5549,300.7411,1373.2217,300.86816,1403.3047,1451.4253
1012.8097,103.46077,1012.8944,103.46854,1013.1658,103.41762,1012.864,103.50049,1012.91077,103.35771,1013.02075,103.54076,1344.3804,287.13086,1344.5491,286.73944,1344.2156,286.86652,1375.2983,1423.4192
969.81396,94.461334,969.8988,94.4691,970.1703,94.41817,969.8683,94.50105,969.9153,94.35828,970.02527,94.54132,1282.3865,257.13257,1282.5549,256.7411,1282.2214,256.8681,1314.3047,1372.4253
