dataset,seed,hidden_dim_1,hidden_dim_2,mlp_dim,dropout,learning_rate,num_layers_LSTM,num_layers_GRU,trained_epochs,valid_loss,train_loss
CollegeMsg,42,64,256,64,0.001,0.5,3,3,126,49625.12902832031,17823.72607421875
CollegeMsg,42,128,32,32,0.0001,0.5,3,3,520,103400.65426635742,1018.5417175292969
CollegeMsg,42,128,32,32,0.001,0.5,3,3,126,71227.38977050781,16551.9755859375
CollegeMsg,42,128,32,64,0.0001,0.5,3,3,357,104385.69979858398,1190.20263671875
CollegeMsg,42,128,32,64,0.001,0.5,3,3,126,65941.08422851562,24047.9765625
CollegeMsg,42,128,64,32,0.0001,0.5,3,3,383,101025.53874206543,1051.2842102050781
CollegeMsg,42,128,64,32,0.001,0.5,3,3,126,65280.68798828125,22360.0029296875
CollegeMsg,42,128,64,64,0.0001,0.5,3,3,257,99031.29804229736,1185.8902893066406
CollegeMsg,42,128,64,64,0.001,0.5,3,3,126,64459.8857421875,31585.0244140625
CollegeMsg,42,128,128,32,0.0001,0.5,3,3,278,101413.0290222168,1079.2228393554688
CollegeMsg,42,128,128,32,0.001,0.5,3,3,150,40146.58288574219,9422.9384765625
CollegeMsg,42,128,128,64,0.0001,0.5,3,3,192,100010.67294311523,1459.5211791992188
CollegeMsg,42,128,128,64,0.001,0.5,3,3,126,26320.901245117188,6268.375244140625
CollegeMsg,42,128,256,32,0.0001,0.5,3,3,196,99553.19741821289,1340.6101684570312
CollegeMsg,42,128,256,32,0.001,0.5,3,3,128,58814.9013671875,33654.107421875
CollegeMsg,42,128,256,64,0.0001,0.5,3,3,152,95627.58723449707,1622.6832275390625
CollegeMsg,42,128,256,64,0.001,0.5,3,3,126,58025.646484375,15968.36376953125
CollegeMsg,42,256,32,32,0.0001,0.5,3,3,490,101720.42135620117,1029.00439453125
CollegeMsg,42,256,32,32,0.001,0.5,3,3,126,73362.85327148438,17172.25927734375
CollegeMsg,42,256,32,64,0.0001,0.5,3,3,342,101245.7317199707,1083.1536865234375
CollegeMsg,42,256,32,64,0.001,0.5,3,3,126,66200.83959960938,25392.70703125
CollegeMsg,42,256,64,32,0.0001,0.5,3,3,377,100558.30233764648,987.6561889648438
CollegeMsg,42,256,64,32,0.001,0.5,3,3,126,66583.85986328125,22892.529296875
CollegeMsg,42,256,64,64,0.0001,0.5,3,3,263,99941.26631164551,1250.966796875
CollegeMsg,42,256,64,64,0.001,0.5,3,3,126,61863.671142578125,31055.69921875
CollegeMsg,42,256,128,32,0.0001,0.5,3,3,285,99942.56251525879,1083.9251708984375
CollegeMsg,42,256,128,32,0.001,0.5,3,3,156,96960.44018554688,3364.88818359375
CollegeMsg,42,256,128,64,0.0001,0.5,3,3,194,97296.2078704834,1303.5317993164062
CollegeMsg,42,256,128,64,0.001,0.5,3,3,126,59289.610107421875,36330.32421875
CollegeMsg,42,256,256,32,0.0001,0.5,3,3,220,98789.62252807617,1308.647216796875
CollegeMsg,42,256,256,32,0.001,0.5,3,3,126,62349.80615234375,32511.134765625
CollegeMsg,42,256,256,64,0.0001,0.5,3,3,150,94543.51399230957,1509.5137329101562
CollegeMsg,42,256,256,64,0.001,0.5,3,3,136,65554.42602539062,24584.755859375
CollegeMsg,42,512,32,32,0.0001,0.5,3,3,492,103244.18078613281,1036.1981201171875
CollegeMsg,42,512,32,32,0.001,0.5,3,3,126,71461.76049804688,17128.28076171875
CollegeMsg,42,512,32,64,0.0001,0.5,3,3,337,101465.48155212402,1123.80517578125
CollegeMsg,42,512,32,64,0.001,0.5,3,3,126,65967.50659179688,25018.0244140625
CollegeMsg,42,512,64,32,0.0001,0.5,3,3,376,100735.19647216797,1043.0308837890625
CollegeMsg,42,512,64,32,0.001,0.5,3,3,126,65929.01135253906,22820.669921875
CollegeMsg,42,512,64,64,0.0001,0.5,3,3,262,99437.22801208496,1186.294677734375
CollegeMsg,42,512,64,64,0.001,0.5,3,3,126,64403.639892578125,31326.751953125
CollegeMsg,42,512,128,32,0.0001,0.5,3,3,279,102586.6750793457,1159.0108032226562
CollegeMsg,42,512,128,32,0.001,0.5,3,3,126,67063.43603515625,25784.421875
CollegeMsg,42,512,128,64,0.0001,0.5,3,3,195,98814.37358093262,1474.6636962890625
CollegeMsg,42,512,128,64,0.001,0.5,3,3,127,62574.88232421875,35042.814453125
CollegeMsg,42,512,256,32,0.0001,0.5,3,3,227,101251.05191040039,1135.7906799316406
CollegeMsg,42,512,256,32,0.001,0.5,3,3,126,67393.41357421875,33425.947265625
CollegeMsg,42,512,256,64,0.0001,0.5,3,3,149,95316.43357849121,1668.72900390625
CollegeMsg,42,512,256,64,0.001,0.5,3,3,126,61369.949951171875,36795.470703125
CollegeMsg,42,64,32,32,0.0001,0,2,2,598,102554.27438354492,1085.9017944335938
CollegeMsg,42,64,32,32,0.001,0,2,2,126,76021.59637451172,12386.13232421875
CollegeMsg,42,64,32,64,0.0001,0,2,2,477,102071.01914978027,1034.19580078125
CollegeMsg,42,64,32,64,0.001,0,2,2,126,65714.05395507812,22347.625
CollegeMsg,42,64,64,32,0.0001,0,2,2,499,102347.41688537598,1068.1013793945312
CollegeMsg,42,64,64,32,0.001,0,2,2,126,69254.97155761719,18831.55029296875
CollegeMsg,42,64,64,64,0.0001,0,2,2,288,99725.53007507324,1102.6652526855469
CollegeMsg,42,64,64,64,0.001,0,2,2,126,61976.8193359375,28505.34375
CollegeMsg,42,64,128,32,0.0001,0,2,2,335,100175.61421203613,1092.3223876953125
CollegeMsg,42,64,128,32,0.001,0,2,2,126,61695.4150390625,29235.220703125
CollegeMsg,42,64,128,64,0.0001,0,2,2,220,98226.24801635742,1231.1604614257812
CollegeMsg,42,64,128,64,0.001,0,2,2,130,17150.51544189453,3407.3404541015625
CollegeMsg,42,64,256,32,0.0001,0,2,2,206,97040.20269012451,1242.9370422363281
CollegeMsg,42,64,256,32,0.001,0,2,2,126,17695.84585571289,2217.5963745117188
CollegeMsg,42,64,256,64,0.0001,0,2,2,149,95420.7986831665,1705.13916015625
CollegeMsg,42,64,256,64,0.001,0,2,2,147,15507.559997558594,4894.099853515625
CollegeMsg,42,128,32,32,0.0001,0,2,2,555,101956.36129760742,1120.878662109375
CollegeMsg,42,128,32,32,0.001,0,2,2,126,73075.73944091797,14675.34912109375
CollegeMsg,42,128,32,64,0.0001,0,2,2,421,101757.22429656982,1097.8837890625
CollegeMsg,42,128,32,64,0.001,0,2,2,126,66654.66235351562,21367.3017578125
CollegeMsg,42,128,64,32,0.0001,0,2,2,432,101432.18032073975,1052.4773559570312
CollegeMsg,42,128,64,32,0.001,0,2,2,126,65545.13110351562,22507.294921875
CollegeMsg,42,128,64,64,0.0001,0,2,2,326,100080.37434387207,1072.4105834960938
CollegeMsg,42,128,64,64,0.001,0,2,2,126,61395.0498046875,29893.3291015625
CollegeMsg,42,128,128,32,0.0001,0,2,2,412,100826.87761688232,1099.927001953125
CollegeMsg,42,128,128,32,0.001,0,2,2,126,63945.20263671875,24959.486328125
CollegeMsg,42,128,128,64,0.0001,0,2,2,223,97983.99091339111,1268.1106567382812
CollegeMsg,42,128,128,64,0.001,0,2,2,180,63402.82373046875,26475.62109375
CollegeMsg,42,128,256,32,0.0001,0,2,2,214,96867.11332702637,1213.2166442871094
CollegeMsg,42,128,256,32,0.001,0,2,2,139,25384.026916503906,3296.4500732421875
CollegeMsg,42,128,256,64,0.0001,0,2,2,150,95090.25717926025,1571.7008666992188
CollegeMsg,42,128,256,64,0.001,0,2,2,128,14542.928466796875,5047.682373046875
CollegeMsg,42,256,32,32,0.0001,0,2,2,648,102183.10488128662,1043.8832702636719
CollegeMsg,42,256,32,32,0.001,0,2,2,126,73277.68103027344,15171.1044921875
CollegeMsg,42,256,32,64,0.0001,0,2,2,411,101354.90252685547,1031.7388916015625
CollegeMsg,42,256,32,64,0.001,0,2,2,126,66203.47119140625,21882.8291015625
CollegeMsg,42,256,64,32,0.0001,0,2,2,438,100910.63048553467,1080.040283203125
CollegeMsg,42,256,64,32,0.001,0,2,2,126,64755.34729003906,23676.9072265625
CollegeMsg,42,256,64,64,0.0001,0,2,2,309,100347.4256362915,1116.90966796875
CollegeMsg,42,256,64,64,0.001,0,2,2,126,60968.566650390625,31103.890625
CollegeMsg,42,256,128,32,0.0001,0,2,2,391,100279.28534698486,1027.6389770507812
CollegeMsg,42,256,128,32,0.001,0,2,2,129,60884.70458984375,31100.3837890625
