Epoch: 24 | Edge Type: o-o-bank | Train Loss: 0.7062 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-o-nobank | Train Loss: 0.6572 | Train AUCROC: 0.5225 | GPU: 0.0MiB
Epoch: 24 | Edge Type: o-n | Train Loss: 0.6922 | Train AUCROC: 0.5034 | GPU: 0.0MiB
Epoch: 24 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-o-bank | Train Loss: 0.7053 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-o-nobank | Train Loss: 0.6561 | Train AUCROC: 0.4869 | GPU: 0.0MiB
Epoch: 25 | Edge Type: o-n | Train Loss: 0.6912 | Train AUCROC: 0.4977 | GPU: 0.0MiB
Epoch: 25 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-o-bank | Train Loss: 0.7045 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-o-nobank | Train Loss: 0.6550 | Train AUCROC: 0.5115 | GPU: 0.0MiB
Epoch: 26 | Edge Type: o-n | Train Loss: 0.6906 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 26 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 27 | Edge Type: o-o-bank | Train Loss: 0.7036 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 27 | Edge Type: o-o-nobank | Train Loss: 0.6536 | Train AUCROC: 0.4849 | GPU: 0.0MiB
Epoch: 27 | Edge Type: o-n | Train Loss: 0.6905 | Train AUCROC: 0.4989 | GPU: 0.0MiB
Epoch: 27 | Edge Type: n-n | Train Loss: 0.7229 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 28 | Edge Type: o-o-bank | Train Loss: 0.7028 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 28 | Edge Type: o-o-nobank | Train Loss: 0.6527 | Train AUCROC: 0.5093 | GPU: 0.0MiB
Epoch: 28 | Edge Type: o-n | Train Loss: 0.6901 | Train AUCROC: 0.5019 | GPU: 0.0MiB
Epoch: 28 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 29 | Edge Type: o-o-bank | Train Loss: 0.7019 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 29 | Edge Type: o-o-nobank | Train Loss: 0.6512 | Train AUCROC: 0.4943 | GPU: 0.0MiB
Epoch: 29 | Edge Type: o-n | Train Loss: 0.6898 | Train AUCROC: 0.4965 | GPU: 0.0MiB
Epoch: 29 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 30 | Edge Type: o-o-bank | Train Loss: 0.7011 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 30 | Edge Type: o-o-nobank | Train Loss: 0.6503 | Train AUCROC: 0.4810 | GPU: 0.0MiB
Epoch: 30 | Edge Type: o-n | Train Loss: 0.6892 | Train AUCROC: 0.5031 | GPU: 0.0MiB
Epoch: 30 | Edge Type: n-n | Train Loss: 0.7229 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 31 | Edge Type: o-o-bank | Train Loss: 0.7002 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 31 | Edge Type: o-o-nobank | Train Loss: 0.6491 | Train AUCROC: 0.5036 | GPU: 0.0MiB
Epoch: 31 | Edge Type: o-n | Train Loss: 0.6895 | Train AUCROC: 0.4953 | GPU: 0.0MiB
Epoch: 31 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.4998 | GPU: 0.0MiB
Epoch: 32 | Edge Type: o-o-bank | Train Loss: 0.6994 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 32 | Edge Type: o-o-nobank | Train Loss: 0.6489 | Train AUCROC: 0.5127 | GPU: 0.0MiB
Epoch: 32 | Edge Type: o-n | Train Loss: 0.6889 | Train AUCROC: 0.4989 | GPU: 0.0MiB
Epoch: 32 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.4998 | GPU: 0.0MiB
Epoch: 33 | Edge Type: o-o-bank | Train Loss: 0.6986 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 33 | Edge Type: o-o-nobank | Train Loss: 0.6473 | Train AUCROC: 0.5181 | GPU: 0.0MiB
Epoch: 33 | Edge Type: o-n | Train Loss: 0.6884 | Train AUCROC: 0.4978 | GPU: 0.0MiB
Epoch: 33 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 34 | Edge Type: o-o-bank | Train Loss: 0.6978 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 34 | Edge Type: o-o-nobank | Train Loss: 0.6464 | Train AUCROC: 0.5029 | GPU: 0.0MiB
Epoch: 34 | Edge Type: o-n | Train Loss: 0.6878 | Train AUCROC: 0.5017 | GPU: 0.0MiB
Epoch: 34 | Edge Type: n-n | Train Loss: 0.7229 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 35 | Edge Type: o-o-bank | Train Loss: 0.6970 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 35 | Edge Type: o-o-nobank | Train Loss: 0.6448 | Train AUCROC: 0.5165 | GPU: 0.0MiB
Epoch: 35 | Edge Type: o-n | Train Loss: 0.6878 | Train AUCROC: 0.4997 | GPU: 0.0MiB
