graph_num,filtration_num,l2_norm,cosine_similarity,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
15,10,617.5508076263847,,71,7,71,7,113,22,113,22,130,34,154,73,157,79,171,134,183,229,187,314
16,1,609.352114954892,,62,5,62,5,110,21,110,21,130,43,151,74,155,83,170,144,179,222,183,310
16,2,603.339042330264,,64,6,64,6,117,26,117,26,130,39,153,72,155,78,169,127,179,216,183,305
16,3,557.0062836270341,,61,8,61,8,107,26,107,26,121,37,143,69,146,78,159,125,166,197,169,272
16,4,578.1487697816194,,72,13,72,13,121,29,121,29,138,43,152,60,157,79,170,135,175,187,178,264
16,5,559.5703709096828,,77,12,77,12,118,25,118,25,136,40,147,54,154,73,165,127,171,177,174,253
16,6,532.9390209020165,,75,11,75,11,115,27,115,27,130,37,141,56,148,76,158,118,163,167,166,234
16,7,513.4919668310304,,75,11,75,11,115,24,115,24,129,41,137,51,143,69,154,110,158,151,161,224
16,8,514.8514348819473,,70,11,70,11,115,22,115,22,125,39,135,54,141,71,153,122,157,164,159,222
16,9,495.2968806685542,,65,9,65,9,107,16,107,16,118,33,135,63,138,70,145,96,152,162,154,221
16,10,506.19857763529916,,62,7,62,7,105,13,105,13,116,33,132,60,139,81,148,117,153,168,155,231
17,1,478.557206611707,,61,5,61,5,100,12,100,12,110,29,125,54,130,66,140,112,145,151,148,225
17,2,483.0424411995285,,56,5,56,5,102,19,102,19,116,38,125,57,133,78,143,131,145,144,148,216
17,3,465.44279992282617,,46,3,46,3,93,17,93,17,106,36,125,75,131,90,137,118,139,137,142,211
17,4,450.2454885948331,,44,4,44,4,94,15,94,15,106,35,117,54,125,80,133,124,135,144,137,197
17,5,429.6347285776605,,48,5,48,5,96,22,96,22,102,32,110,42,117,61,128,118,130,135,132,187
17,6,423.1122782430214,,47,7,47,7,90,18,90,18,103,36,110,44,116,63,126,117,128,134,130,183
17,7,405.303589917484,,37,7,37,7,85,26,85,26,96,39,102,47,107,61,118,120,120,142,121,172
17,8,402.06840214073026,,37,10,37,10,86,30,86,30,96,41,98,43,103,60,116,114,119,146,120,171
17,9,388.44562038977864,,43,9,43,9,87,31,87,31,96,42,99,43,101,46,111,88,117,143,118,164
17,10,383.38622823466153,,37,8,37,8,81,31,81,31,87,38,94,41,97,52,109,101,114,148,115,165
18,1,354.1073283624613,,38,7,38,7,75,27,75,27,81,35,88,38,92,53,101,100,105,140,105,140
18,2,362.5382738415353,,41,8,41,8,75,25,75,25,84,37,94,49,97,60,102,87,108,144,108,144
18,3,358.1829141653744,,44,8,44,8,75,22,75,22,86,34,94,44,95,47,102,83,108,143,108,143
18,4,376.54880161806386,,51,9,51,9,82,22,82,22,90,34,99,45,102,54,109,94,114,143,114,143
18,5,372.55872020394315,,43,7,43,7,77,22,77,22,88,35,95,48,101,67,107,101,111,143,111,143
18,6,383.96223772657646,,44,10,44,10,83,23,83,23,93,39,103,60,104,65,111,100,115,142,115,142
18,7,397.23292914862935,,54,13,54,13,89,27,89,27,102,48,112,76,113,81,116,102,118,127,118,127
